tweet_id,text,task1,task2,ID
1127641008609476608,"RT @ppbajpai: ममता तैयार हो रही है दिल्ली के लिए..!
पूर्वांचल में योगी का जादू गुम हो चला है..!
केजरीवाल ने एतिहासिक भूल तो नहीं कर दी..!…",NOT,NONE,hasoc_2020_hi_647
1123575431955910664,"भारत के लिये बड़ी खबर
मसूद अजहर को ग्लोबल आतंकवादी घोषित किया गया",NOT,NONE,hasoc_2020_hi_2565
1127757564089790464,RT @ParwezK92714513: पति का कितना खयाल है इसे रोज स्वर्ग मे जाती है https://t.co/XDyqcT1A9U,NOT,NONE,hasoc_2020_hi_1874
1127530153146327040,"RT @AshrafFem: मौसम की वजह से 'विशेषज्ञ' हवाई हमले की तारीख़ बदलना चाहते थे। मैने उन्हें बताया कि बादल हैं, बारिश है, तो फ़ायदा है। बादलो…",NOT,NONE,hasoc_2020_hi_39
1127592098797060097,"@ihirarafique chanda ♥️ tumhein tou pata hai, sometimes I don't know kese kahoon ya sunnay wala samjhega? Ya main samjha bhi paunga?",NOT,NONE,hasoc_2020_hi_1335
1127793828042162176,"RT @ChaturvediS2: कैसे चलाया जा सकता है,,, 
यह तो,, पेट से सीख कर आये हैं,,,अभिमन्यु ??????
👉परनाना जैसे अय्याशी के साथ,,
👉दादी जैसे इमरजें…",NOT,NONE,hasoc_2020_hi_2951
1127502412028080128,"RT @ZeeRepublic: तैमूर अली खान के बिगड़े बोल

कहा-बाकी लोग तो बस मोदी को हारते हैं विरोध करते हैं लेकिन छाती पर चढ़कर मूंग तो सिर्फ केजरीवा…",HOF,OFFN,hasoc_2020_hi_3735
1127465791526322178,"RT @s_ambalika: @Yogesh_Bajaj1 @KChugh9 @PoojaYa10361065 Sir,. वो माँ जो कभी घर से बाहर भी नहीं जाती, जो किसी से फालतू मतलब नहीं रखती,, जो…",NOT,NONE,hasoc_2020_hi_315
1127515410151104513,RT @neeta_pankaj: @ShilpiSinghINC आंटी राहुल गांधी को परधान मंती बनाने के लिए महागठबंधन में से कितने दल राजी हुए ..!,NOT,NONE,hasoc_2020_hi_2793
1127735288170778624,"RT @VeerLotus: मोदी जी को चिल्ला-2 चोर बोलना
और बेहिसाब बेलगाम गालियां देना
तथा उनकी छवि खराब करने को फैलाया
झूठ का बदबूदार रैता सब जायज था…",HOF,PRFN,hasoc_2020_hi_516
1127584213530697728,@PreetiSMenon @ArvindKejriwal @GautamGambhir @AtishiAAP चोर चोर मौसेरे भाई,HOF,OFFN,hasoc_2020_hi_1925
1127563627890741249,RT @Payal_Rohatgi: #MothersDay यह दिन को आप सब आज मना रहे हो पूरे देश में मगर शायद आपको यह भी नहीं पता कि यह भारतीय संस्कृति नहीं है। यह we…,NOT,NONE,hasoc_2020_hi_2133
1123794412394487813,"RT @Aryavrta: #IndianJudiciaryAtStake 
बड़ी बहन के साथ दुष्कर्म हो तो क्या वो अपनी छोटी बहन को समर्पित करवाएगी❓

2007 तक आश्रम में रहें,201…",NOT,NONE,hasoc_2020_hi_2179
1123823952894332929,RT @BJP4India: बंगाल से ममता दीदी का जाना सुनिश्चित हो गया है। 23 मई के बाद बंगाल के अंदर परिवर्तन का सूर्योदय होने वाला है: श्री अमित शाह…,NOT,NONE,hasoc_2020_hi_3930
1127521651283808256,ममता के बंगाल मे जब इतनी मार पीट चुनाव  के दौरान होती है तो वहाँ राष्ट्रपति शासन लगा कर चुनाव कराना चाहिए।लोगों को मार कर लोकतंत्र ला रही है ममता।चुनाव के समय राष्ट्रपति का ही शासन पूरे देश में होना चाहिए ।,HOF,HATE,hasoc_2020_hi_258
1127767819184029696,"RT @bijendra125: #जय_सिया_राम_जी
आपका दिन मंगलमय हो।
""#समय जब #नाच नचाता है ना,
तब #सगे_संबंधी भी #काेरियाेग्राफर बन जाते हैं।""
#जय_श्री_रा…",NOT,NONE,hasoc_2020_hi_2838
1123574354057486338,"#GHMSNNews *Breaking News* - केंद्रीय मंत्री नितिन गडकरी की तबीयत बिगड़ी 

https://t.co/KKpGpzDEaW",NOT,NONE,hasoc_2020_hi_1100
1127567134295351297,मेरा वोट बृजेश गोयल जी को झाड़ू अरविंद केजरीवाल जिंदाबाद https://t.co/CUPmLEIrJv,NOT,NONE,hasoc_2020_hi_989
1127786743896272896,"@guddusinghdss ""करता नही है कोई कद्र यहाँ किसी के अहसासों की . . . 
हर किसी को फिक्र है बस मतलब के ताल्लुक़ातो की . . .!!!",NOT,NONE,hasoc_2020_hi_3820
1127759208261345280,@RanaAyyub तेली का तेल और मशालची की छाती,NOT,NONE,hasoc_2020_hi_2492
1127468572370882560,"RT @ranjeetadadwal: #LokSabhaElections2019
 @ECISVEEP सुनील अरोड़ा के वोट डालने के बाद तस्वीर खींचते। @IPSMadhurVerma
@JournoPranay @ashoke…",NOT,NONE,hasoc_2020_hi_2490
1127575682312232961,RT @SureshN12555265: सोनीया गांधी का एक और सच सामने @RahulGandhi यह कैसा घिनवना काम हुवा है तुम्हारे खानदान मे कहो ना झुठ है सबसे पहले अपना…,HOF,OFFN,hasoc_2020_hi_1101
1127583991232585728,"RT @SinghAwantika: अगर सारे करोड़पति बन जाएंगे तो मजदूर अफ्रीका से पकड़ कर लाया जाएगा? अमेरिका जैसे विकसित देश में भी लोग मजदूरी करते है, ऐ…",NOT,NONE,hasoc_2020_hi_1028
1123598148335742976,"RT @rajamaka: पंडित नेहरू जब प्रघानमंत्री थे, उनके समय कुंभ में भगदड़ हुई थी लेकिन बदनामी के डर से यह खबर को बाहर ही आने नही दिया था !!

क्…",NOT,NONE,hasoc_2020_hi_1756
1123569807419330560,"झांसी, प्रियंका गांधी के रोडशो में नारे लगाने वालों के खिलाफ कार्रवाही, तीन को दिखाया बाहर का रास� https://t.co/anjc4at0vw",NOT,NONE,hasoc_2020_hi_1540
1127472938616156160,"RT @92mhq6QNslesNLP: कल मतदान जरूर करे....!!!

चाहे BJP को करो 

चाहे मोदी जी को करो

चाहे कमल को करो 

पर मतदान जरूर करे।😂😂

#JitegaModiJi…",NOT,NONE,hasoc_2020_hi_887
1127801319069106179,@aroraups Logg Sharafat Mein Aksar Dhokha Khaa Jaate Hain 😆😆😆,NOT,NONE,hasoc_2020_hi_2500
1123521023473668097,@upasanatigress तू किसी काम की नहीं है दूसरे देश में जाकर बोझ बनने से बढ़िया है किसी गंदे नाले में डूब मर।,HOF,OFFN,hasoc_2020_hi_3652
1127542350165602304,@ArvindKejriwal बूथ खाली पड़े हैं।आप के बूथ मेनेजर नदारद हैं।,NOT,NONE,hasoc_2020_hi_1391
1127545672054509574,"@Rupendr60418689 @deepak_hariom एक बुद्धिमान माँ अपनी सन्तान से प्रेम अवश्य करती है, परन्तु उसे योग्य बनाने के लिए उसके प्रति कठोर बनने में कोताही नहीं करती
#HappyMothersDay
https://t.co/xueGYitWx7",NOT,NONE,hasoc_2020_hi_3215
1127545021954048000,"RT @_m_rohit: हूं मै बेइंतहां हूं आज भी हू ब हू हूं
अब भी रगो मे दोडता मै वही खूं हूं

बिखरते सिसकते से कुछ अरमां कोई
हां हूं मै अभी जिंदा…",NOT,NONE,hasoc_2020_hi_320
1127647916623970305,"RT @mogemboz: इतना फेंकता है कि 
आराम नहीं करता !
सुना है बादलों में रडार 
काम नहीं करता !!",NOT,NONE,hasoc_2020_hi_3486
1123617781872644096,@msisodia Agar offer diya hai to le lo bhaiyon. Baad main chavanni bhi nahin milegi,NOT,NONE,hasoc_2020_hi_3624
1127591218018340864,"@GovindaPanditU1 @qWW1YjMppqfqvuX @Sonabhadauria1 @reenasinghgaur @mksbsli08 @sitaram74378829 @shashibhaya1 @OppressedHindu @dhritrastra @ckpearloflife @imrawool @Nirmal111 @bmcowl9 @Ramsharma9981 @JayGopalMishra2 @pipcrd @Ajeet_Tyagi_Ji @bhawanablog @pmmh2015 @neerajtyagimbd @sankrant मैं तो कब से इसका पता पुछ रही हुं, डर से ये लतखोर अपना पता बताता ही नही।",HOF,PRFN,hasoc_2020_hi_3022
1127465527301906433,"RT @aajtak: ट्विटर पर बीजेपी के हैं दुनिया भर में सबसे ज्यादा फॉलोअर

https://t.co/3OiFUA31w2",NOT,NONE,hasoc_2020_hi_1103
1127601372432453633,RT @delhichatter: ये वीडियो देख कर सारे कॉमेडियन अपनी लाइन चेंज करने पर मजबूर हो सकते हैं 🤣 https://t.co/j5flUFC38q,NOT,NONE,hasoc_2020_hi_2157
1127599765993082881,@Sunitkrsrivasta @RubikaLiyaquat क्या बात है इतनी गर्मी में इससे बेहतर कुछ नही हो सकता ।।,NOT,NONE,hasoc_2020_hi_1275
1127462977148530689,"RT @RamPD78: अगर ये इंटरव्यू नहीं देखा तो कुछ नहीं देखा 

इस बहादुर बालिका के YT चेनल का पता हो तो जरुर बताना दोस्तों https://t.co/DbOOzqrq…",NOT,NONE,hasoc_2020_hi_1757
1127709392529448960,"@ajitanjum @abhisar_sharma @ppbajpai @ravishndtv @Ra_THORe @narendramodi 
आप सभी सज्जन देखिए कि रेलवे एवं वर्तमान केन्द्रीय-सरकार कैसे भारतीय जनता जो रेल से यात्रा करती है यहीं रेलवे कैसे यात्रियों के अच्छे दिनों का झूठा दावा कर रही है?
यह आप सभी को ध्यान से देखना चाहिए?",NOT,NONE,hasoc_2020_hi_4129
1127580925175275520,@BBCHindi इसे कहते हैं खतरो का खिलाड़ी।,NOT,NONE,hasoc_2020_hi_3950
1127617566623404032,"RT @myogiadityanath: तस्वीरें सच बोलती हैं।
आज आदरणीय @narendramodi जी की पूर्वांचल रैली में वृद्ध महिलाएं, कर्मशील युवा और मुस्कुराते बच्…",NOT,NONE,hasoc_2020_hi_876
1127592660854816773,@BBCHindi ये तो सही नही हो सकता,NOT,NONE,hasoc_2020_hi_3944
1127475266492649472,"RT @DDNewsHindi: #NewsFlash: मुख्य चुनाव आयुक्त सुनील अरोड़ा ने दिल्ली के निर्माण भवन स्थित मतदान केंद्र में अपना मतदान किया  
#Phase6
#Mak…",NOT,NONE,hasoc_2020_hi_901
1127784848037482496,@AkhileshPSingh प्रधान मंत्री जी की यही बातें अच्छी लगती है जो मुंह मे आए बोल दो अन्ध भक्त है ना सब सम्भाल लेंगे।अच्छा हुआ कि ये नहीं कहा कि पायलट कि जगह मै ही गया था पाकिस्तान प्लेन लेकर हमला करने।।।,HOF,OFFN,hasoc_2020_hi_2524
1127613170984439808,@TheAzharSabri नही रविश कुमार,NOT,NONE,hasoc_2020_hi_2313
1127553846748672001,"RT @Ajay27_INC: चौकीदार पहले से धोखेबाज है 
जिसने सत्ता हासिल करने के लिए #UPA के समय घोटालों का गेम प्लान किया..
और जनता को गुमराह किया..…",HOF,OFFN,hasoc_2020_hi_4201
1127517859620491264,मोदी के 'रेडार ज्ञान' का कांग्रेस सोशल मीडिया हेड ने उड़ाया मजाक https://t.co/MlVwUZz1b0,NOT,NONE,hasoc_2020_hi_3152
1127770759378554880,@kamleshtiwari03 कमलेश जी इन सुरो से दोगली कोम दुनिया भर में कोई नहीं इन सालो सारी आजादी हिन्दुस्तान में ही चाहिए अमेरिका में नंगे होंगे चीन में सुअर का मांस खाने को मजबूर लंका में इनकी लंका ही कर डाली म्यामांर में इनकी माँ बहन एक करदी आजादी हिन्दुस्तान में ही चाहिए,HOF,HATE,hasoc_2020_hi_1917
1127694452418588672,"RT @tiwari_ashish1: भैया इस बूथ पर 400% मतदान होगा। 

बस दिक्कत ये है इन सब को पॉपुलर करने के चक्कर में मैं जेल न चला जाऊ😭😭😭😭😍😍😍😍😘😘😘😘😘😘 htt…",NOT,NONE,hasoc_2020_hi_734
1123594528630267904,"तुझ पर कुछ लिखूं
इतनी मेरी औकात कहां

तूने ही तो लिखना सिखाया है माँ 👩
तू ही घर मेरा, तू ही जहां l
😍😍😘😘😘😘😘😘",NOT,NONE,hasoc_2020_hi_1715
1123827186694279169,"भाई, सड़ जी अब नहीं जीतेंगे। 🤣🤣
स्वयं ही देख लो सड़ जी अब कितनी सीटों पे चुनाव लड़ रहे हैं ,और पिछली बार कितनी पे लड़े थे।
भाई , तुम बहुत भोले हो।
23 मई को ऐसे ट्वीट डिलीट कर देना।😝",NOT,NONE,hasoc_2020_hi_436
1123627059664711686,RT @Hema_quotes: इसकी ग़रीबी देखकर आँखें नम हो जाती हैं! 😢 https://t.co/v0T8IpFhxQ,NOT,NONE,hasoc_2020_hi_3490
1127482921088978945,"RT @hema_yadav14: हर रिश्ते में मिलावट देखी,कच्चे रंगों की सजावट देखी, लेकिन सालों-साल देखा है माँ को,
उसके चेहरे पे ना कभी थकावट देखी, ना…",NOT,NONE,hasoc_2020_hi_3298
1123688363628879873,"RT @jhaprabhatbjp: JNU में जिस नौजवान ने ये कहा था, भारत तेरे टुकड़े होंगे,जिस पर देशद्रोह का मुक़दमा चल रहा है और वो जेल में रहे, दिग्विजय…",NOT,NONE,hasoc_2020_hi_3341
1123528006968864768,Kolhapur and Dwaraka,NOT,NONE,hasoc_2020_hi_2125
1127608683095920640,लेकिन उन गरीब नौजवानो का क्या होगा जो 2013-14 में CTET QUALIFIED करने के बाद OVR AGD होगए उनको इन 5 सालों में KVS के RECRUITMENT मे एक मौका क्यु नहीं दिया गया? क्या GENERAL पुरुष 30 साल के बाद प्राथमिक शिक्षक बनने के लिए उपयुक्त नहीं है? क्या यही 1 भारत श्रेष्ठ भारत है?,NOT,NONE,hasoc_2020_hi_3565
1127485072775344129,RT @Nikhil58690778: @tiwari_ashish1 @NationFirst0010 दो पिज़्ज़ा के बीच में सुखी रोटी। क्या बोलूं यार।... कोई अब ज़हर दे दे मुझे।,NOT,NONE,hasoc_2020_hi_2170
1127618225141719040,"@Swadesh03032906 Ok you win👍
जो ट्वीट किए वो डिलीट कर रहा हूं 
आपने भाई कहां इसलिए
मेरे हिसाब से भाई बहन की लड़ाई में बहन ही जितनी चाहिए",NOT,NONE,hasoc_2020_hi_3429
1127540739544457216,@narendramodi हिम्मत तो बस आम के खेत जाने वाले में है ।हमारे यहाँ तो आम के बाग होते हैं ।और इन हिम्मत के पहलवान को जनता और लोगों के बीच में कभी नहीं देखा ।इतनी हिम्मत है पहलवान में कि अपने देश की जनता के बीच नहीं जा सकते ।,NOT,NONE,hasoc_2020_hi_4301
1123635720919441409,"क्या आईना और क्या इंसान,

कद्र नहीं रहती टूटने के बाद।
😏🙄🙄😏",NOT,NONE,hasoc_2020_hi_2705
1123632667449102336,"RT @SurajDa62004341: #वेद_मेरा_भेद_है
🔸परमात्मा सहशरीर है उस का नाम कबीर है वह धू-लोक के तीसरे पृष्ठ मे विराजमान है l
हीरे-जवाहरात से जडा प…",NOT,NONE,hasoc_2020_hi_2438
1127656321983995904,"RT @ratanjha101: जिस आदमी को गाँधी के तीन बंदरों की कहानी भी लिखकर लानी पड़ती है
भाषण के बिंदु कैपिटल अक्षरों में लिखकर लाने पड़ते हैं
125…",HOF,OFFN,hasoc_2020_hi_3733
1127535702189707265,"RT @dpksharmaa: @SheilaDikshit @ArvindKejriwal बड़ी अम्मा आप इस चुतियानंदन केजरीवाल के बारे में मत सोचो 
अब दिल्ली समझ गयी है इस नक्सली को",HOF,PRFN,hasoc_2020_hi_3581
1127524629235388422,RT @abhisar_sharma: अब हम करें तो करें क्या ? बोलें तो बोलें क्या ? https://t.co/YkDMOL7T3c,NOT,NONE,hasoc_2020_hi_678
1123498550384398336,"@BJP4Rajasthan कांग्रेस सरकार को ये पता नही है की पैसा कहा से आयेगा ओर ये गरीब लोगो को 72,000 मुफ्त रुपय देने का वादा कर रही है 
ये सब झूट है।
कांग्रेस सरकार चोर है ।",HOF,OFFN,hasoc_2020_hi_2434
1127810903066521601,RT @MLArajeshSP: सुदूर ब्रह्मांड मे नये नये तारो और ग्रहों की खोज कर रहे वैज्ञानिको को ये भी चिंता सताने लगी है कि पृथ्वी के रेडियो सिग्नल…,NOT,NONE,hasoc_2020_hi_850
1127564219279273985,"@desh_bhkt मुझे कुछ मिले न मिले,गम नहीं,

मोदी जी के हाथों में देश की बागडोर किसी खजाने से कम नही, https://t.co/dT18ZKjhcy",NOT,NONE,hasoc_2020_hi_884
1127802673854599168,"RT @INCMP: कुछ तो शर्म करो :

- जीएसटी और नोटबंदी से धंधा चौपट करने वालों 
- किसानों के साथ धोखा करने वालों
- जनता के टैक्स का पैसा विज्ञाप…",HOF,HATE,hasoc_2020_hi_1704
1127505704552521729,"RT @IMinakshiJoshi: ""20-25 साल बाद जब मेरा शरीर कमज़ोर हो जाएगा तब मैं किराए का कमरा खोजूँगा ।""
@narendramodi 
क्या देवरिया से मोदी का संके…",NOT,NONE,hasoc_2020_hi_3292
1127751062931120130,@RSFBLB 🤣🤣🤣🤣🤣🤣 पप्पू पेलू के चमचे 🤣,HOF,OFFN,hasoc_2020_hi_2588
1127658654029602816,"RT @SureshChavhanke: टीपू सुल्तान के भक्त @RahulGandhi के वोट की जगह भी ""औरंगजेब लेन"".. है !",NOT,NONE,hasoc_2020_hi_33
1127763759089373184,"RT @SurekhaInsan: बच्चों को अपने माँ बाप की निंदा नहीं करनी चाहिए ,ऐसा करते हो तो उससे बड़ा पाप और कोई नहीं हो सकता।
अगर उनकी किसी बात से ह…",NOT,NONE,hasoc_2020_hi_2595
1127497710183936001,@KarunaShukla10 इनके पिता जी शायद कसाब की अफ़जल जैसे आतंकवादीयो का केश लड़ रहा था उनको बचाने के लिये,NOT,NONE,hasoc_2020_hi_3111
1127492928690106368,@BeingvickyyZ आई को मेरी ओर से #HappyMothersDay बोलना पगलु,NOT,NONE,hasoc_2020_hi_1123
1127619751872589825,शाम को में चचा के इसी बयान को याद कर रहा था 😆,NOT,NONE,hasoc_2020_hi_857
1127513023592034304,"आज का बादल देख कर ख़ुशी हो रही,मोदीजी कुछ अच्छा जरूर करेंगे।

@Shehla_Rashid",NOT,NONE,hasoc_2020_hi_896
1127580430255845376,RT @AndColorPockeT: दिग्विजय ने खुद अपना वोट नही डाला और ये बाकियों से उसके लिए वोट डालने की अपील कर रही। https://t.co/TKoP4fww7J,NOT,NONE,hasoc_2020_hi_911
1127642635974217729,"RT @upadhyay51: साड़ी पहनने की अंतिम तिथि 19 मई शाम छह बजे है उसके बाद इधर से साड़ी डालो उधर से जीन्स निकलेगी 😂😂
@priyankagandhi",HOF,OFFN,hasoc_2020_hi_561
1127471260932292609,RT @Mj0359: चमचो को समझ आने लगा है। #Haryanavotefornation  #jhajjar https://t.co/noHoTDi7VN,HOF,HATE,hasoc_2020_hi_708
1127812274616356865,RT @ajitanjum: इंडिया टुडे पर तुरंत देशद्रोह का मुकदमा दर्ज होना चाहिए .ऐसी  कवर स्टोरी कोई पाकिस्तानी ही छाप सकता है कि करोड़ से ज्यादा नौ…,HOF,HATE,hasoc_2020_hi_69
1123605618391044097,"RT @AdityadasSatlok: #दहेज_मुक्त_समाज का निर्माण संत रामपाल जी महाराज कर रहे है। अब तक 30,000 से अधिक दहेज, फिजूलखर्ची और आडंबर मुक्त विवाह…",NOT,NONE,hasoc_2020_hi_3412
1127811947468967936,ये पप्पू क्या खानदानी पप्पू है क्या?,NOT,NONE,hasoc_2020_hi_3759
1127558875727650817,"RT @atulkanakk: लोग भी यों ही बात का बतंगड़ बना देते हैं/
अब कोई मूँगफली बेचने के लिए तो राजनीति में नहीं आता ना!
🤣 https://t.co/yLTAb7y8Jv",NOT,NONE,hasoc_2020_hi_4325
1127560222095040512,@sambit_swaraj1 भैया इसके कहने का मतलब है कि 23 को चार लोगों की जरूरत है कांग्रेस को कंधा देने के लिए,NOT,NONE,hasoc_2020_hi_299
1123582344206606340,"RT @Activelado: जरा सी बात करनी बंद क्या की
पुराने दोस्तों ने धीरे-धीरे साथ छोड़ दिया
ऐसा लगता है, जैसे....
मेरे बात बंद करने का ही इंतज़ार…",NOT,NONE,hasoc_2020_hi_1062
1127558804432752645,"RT @dev_kundan: @yadavtejashwi @laluprasadrjd कितना भी कुछ कर लीजिए बिहार की जनता अब पहले वाली नही है , 7 सीट से ज्यादा नही आने वाली है ,…",NOT,NONE,hasoc_2020_hi_95
1127742573655650304,"RT @AsaramBapuJi: मनुष्य जो कर्म करता है उसके प्रेरक-बल के रूप में उसकी इच्छाएँ, वासनाएँ होती हैं। यदि मनुष्य जन्म में उसे सही सीख मिल जाय,…",NOT,NONE,hasoc_2020_hi_2081
1127619047200190466,"RT @ParthSonara4: गुजरात के गांवो में दलितों की शादी ओ में जातिवादी अत्याचार। 
#DalitLivesMatter",NOT,NONE,hasoc_2020_hi_4131
1127788585187282944,"@PoonamS18957721 ओर उस से भगवान ने कह रखा हो कि मै उसको भेजूंगा,  तो,🤗🤔😊",NOT,NONE,hasoc_2020_hi_4326
1127531071673757702,"@ZeeNewsHindi  रावण और उसकी भीम सेना का नकाब उतर गया ये सिर्फ भारत में जातिवाद का जहर घोलने वाले है इनको मतलब नहीं दलित बेटियों की ईज्जत सरेआम विडियो बनाकर लूटी जाती है तो लूटी जाऐ इन्होने चूं तक नहीं की ।
सरकार और दूसरी जातियों पर लांछण जितने मर्जी लगवा लो देश में फूट डलवा लो बस",HOF,HATE,hasoc_2020_hi_2769
1127506623109353472,"RT @The_Hina1: “बद-क़िस्मत है वह इंसान जो अपने गुनाह इस मुबारक महीने में न माफ़ करा पाए।”
“रोज़े की भूख और प्यास के द्वारा क़यामत की भूख और…",HOF,OFFN,hasoc_2020_hi_4179
1123587268294234112,RT @shuklapinku: porn gresi के दामाद आतंकी अजर मसूद अब आंतर राष्ट्रिय आतंकी  .... इसका श्रेय नेहरू जी को जाता है !! 😀,NOT,NONE,hasoc_2020_hi_3916
1127650848408911873,"RT @manakgupta: पाकिस्तान ने घुसपैठ बंद की, आतंकी लॉंच-पैड ख़ाली किए...फ़ाइअरिंग रोकने का ऑफ़र किया. घुटनों पर आ गया है आतंकिस्तान 👍 https:…",NOT,NONE,hasoc_2020_hi_2544
1127531268831191041,हमने अपना काम किया अब आप भदोही जिला का विकास करिए।,NOT,NONE,hasoc_2020_hi_929
1127497815045885952,"न डराओ मुझे माँ कह कर

मै एक माँ हूँ| तुम मुझे अपनी पूज्य मानते हो- ऐसा तुम कहते फिरते हो| किन्तु यथार्थ की वेदी पर इसमें मुझे कोई शंका नहीं किन्तु पूर्ण विश्वास है कि इसमें अब सत्य का सत्व खत्म हो गया है|... https://t.co/LkCOejDfce",NOT,NONE,hasoc_2020_hi_1439
1127534817183244288,"RT @AshishSainram: हमने तो सुना था कि..

“चर्च के पादरी और नन सेवा करते हैं”

पर यहाँ तो “पूरा” वेतन ले कर भी टैक्स नहीं भरते

अगर सब ईश्वर…",NOT,NONE,hasoc_2020_hi_2534
1127799867873488896,"Wo jo sabki surat pe haste hai
Unhe tohfe me aaina dijiye 
#Sntosvd",NOT,NONE,hasoc_2020_hi_3487
1127494388320436225,"#पुरे देश का एक ही नारा 
           नरेंद्र मोदी चाहिए दोबारा 
#DeshKeDilMeiModi 
#VotingRound6 
#हरियाणा 
@TrehanNeeti",NOT,NONE,hasoc_2020_hi_1555
1123491092891041792,"RT @mrjitunpanda: जिनका अंडरवियर हरेक अमेरिकी एयरपोर्ट पर उतरता हो,
वो दूसरों के अंडरवियर का कलर नहीं बताते",HOF,OFFN,hasoc_2020_hi_3117
1123559980148244480,"सफ़र है, सफ़र में सबर रख के चल,
कहाँ है तू इसकी ख़बर रख के चल,
#SauBaatKiEkBaat कही ‘बेचैन’ ने
जो कहना है तुझको वो कह के ही उठ,
न दिल में ज़रा भी कसर रख के चल।",NOT,NONE,hasoc_2020_hi_1032
1123502128138477569,"RT @Randhirkush: #WednesdayMotivation
वेद बोलने वाला ब्रह्म कह रहा है वह स्वयं सतपुरुष कबीर हैं जो कबीर वाणीओं द्वारा निर्मल ज्ञान अपने हंस…",NOT,NONE,hasoc_2020_hi_3662
1127573480277307393,RT @JhaManyu1984: 84 के दंगे मे सिख मरते गए बेटियों का बलात्कार होता रहा गुरुद्वारे जलता रहे पर कुछ सीख बेशर्म सिख पापी काँग्रेस को वोट दे…,HOF,HATE,hasoc_2020_hi_2686
1127715688179568640,@sambitswaraj मतलब कांग्रेस को वोट दे दिया,NOT,NONE,hasoc_2020_hi_1017
1123526736115712001,@RubikaLiyaquat शर्म आनी चाहिए प्रियंका को,NOT,NONE,hasoc_2020_hi_2605
1127597220063272961,"RT @Diyasin32915347: #BlackSpotOnJudiciary 
हरियाणा कि सरकार ने बहुत बड़ा घुन्हा किया है एक निर्दोष संत को उम्रकैद की सजा सुना कर जिस दिन ह…",HOF,HATE,hasoc_2020_hi_2326
1127685036193398784,"क्या आप अपने खाली समय में घर या दूकान या ऑफिस या कॉलेज से बैठे बैठे हर महीने कुछ एक्स्ट्रा कमाना चाहते हैं? क्या आप दैनिक जीवन के सामान खरीद पर ढेर बचाना चाहते हैं?

 यहाँ से डाउनलोड करें और मेरे रेफरल कोड VTO6V का उपयोग करें - https://t.co/9E5JGRUA9j",NOT,NONE,hasoc_2020_hi_2659
1127582942643965952,"RT @piyushtrips: सिर्फ पांच वर्षो में हुई इन उपलब्धियों ने कांग्रेस समेत सारे विपक्ष की नींद हराम कर रखी है |
#NamoAgain

#DeshKeDilMeiModi…",NOT,NONE,hasoc_2020_hi_2748
1127796780836331520,@AliSohrab007 @SultanAliqazi गलत जानकारी. बिहार में कुर्मी आबादी 11%से थोड़ा ज्यादा है ।,NOT,NONE,hasoc_2020_hi_988
